3,"influential, pagerank, twitter",TwitterRank: Finding Topic-sensitive Influential Twitterers,2010,1
5,"Twitter, classification, marketing, sentiment analysis, social networking",Twitter Power: Tweets As Electronic Word of Mouth,2009,1
8,"Twitter, informal communication, micro-blog",How and Why People Twitter: The Role That Micro-blogging Plays in Informal Communication at Work,2009,1
10,"location-based estimation, spatial data mining, text mining, twitter",You Are Where You Tweet: A Content-based Approach to Geo-locating Twitter Users,2010,1
11,"social media analytics, social media credibility, twitter",Information Credibility on Twitter,2011,1
19,"classification, feature selection, short text, twitter",Short Text Classification in Twitter to Improve Information Filtering,2010,1
20,"microblogging, topic modeling, twitter",Comparing Twitter and Traditional Media Using Topic Models,2011,1
21,"affect, annotation, debate, journalism, sentiment, tv, video",Characterizing Debate Performance via Aggregated Twitter Sentiment,2010,1
22,"content-based recommendation, news recommendation, real-time recommendation, social recommendation, twitter",Using Twitter to Recommend Real-time Topical News,2009,1
23,"aging theory, text analysis, topic detection",Emerging Topic Detection on Twitter Based on Temporal and Social Terms Evaluation,2010,1
24,"Twitter, rumor identification, social media analytics",Twitter Under Crisis: Can We Trust What We RT?,2010,1
28,"Twitter, social media, topic models",Empirical Study of Topic Modeling in Twitter,2010,1
31,"geolocation, graphical model, language model, latent variable inference, topic models, twitter, user profiling",Discovering Geographical Topics in the Twitter Stream,2012,1
36,"Twitter, user interests",Discovering Users' Topics of Interest on Twitter: A First Look,2010,1
38,"Twitter, affect, sentiment analysis, social networking, weblogs",Sentiment in Twitter Events,2011,1
39,"account abuse, social networks, spam",Suspended Accounts in Retrospect: An Analysis of Twitter Spam,2011,1
45,"memes, tagging, trends, twitter",Conversational Tagging in Twitter,2010,1
50,"collusionrank, link farming, pagerank, spam, twitter",Understanding and Combating Link Farming in the Twitter Social Network,2012,1
51,"Twitter, automatic identification, bot, cyborg","Who is Tweeting on Twitter: Human, Bot, or Cyborg?",2010,1
53,"linkage, news, semantic enrichment, twitter, user profile construction",Semantic Enrichment of Twitter Posts for User Profile Construction on the Social Web,2011,1
54,"named entity recognition, tweets, twitter, web n-gram, wikipedia",TwiNER: Named Entity Recognition in Targeted Twitter Stream,2012,1
55,"controversy, event mining, opinion mining",Detecting Controversial Events from Twitter,2010,1
59,"geo-social event detection, geographical regularity, microblogs",Measuring Geographical Regularities of Crowd Behaviors for Twitter-based Geo-social Event Detection,2010,1
63,"Twitter, communication patterns, content analysis, government, user generated content",Twitter Use by the U.S. Congress,2010,1
66,"ecosystem, online social network, spammer",Analyzing Spammers' Social Networks for Fun and Profit: A Case Study of Cyber Criminal Ecosystem on Twitter,2012,1
68,"graph-based classification, hashtag, sentiment analysis, twitter",Topic Sentiment Analysis in Twitter: A Graph-based Hashtag Sentiment Classification Approach,2011,1
72,"Twitter, information extraction, opinion mining, social media",Extracting Events and Event Descriptions from Twitter,2011,1
73,"link semantics, modeling, ranking, twitter, web graph",Topical Semantics of Twitter Links,2011,1
79,"feature interpolation, semantic concepts, sentiment analysis",Semantic Sentiment Analysis of Twitter,2012,1
83,"Twitter, Topic Detection and Tracking, Real-time text-mining, Information Retrieval",Breaking News Detection and Tracking in Twitter,2010,1
97,"event detection, social media analytics, twitter",Geo-spatial Event Detection in the Twitter Stream,2013,1
100,"Twitter, event detection, future tense, geotagging, tense identification",Identification of Live News Events Using Twitter,2011,1
102,"Twitter, interestingness, microblog, retweet, sentiment analysis, topic modeling",Bad News Travel Fast: A Content-based Analysis of Interestingness on Twitter,2011,1
