,Keywords,title,year,
0,Twitter DegreeOfSeparation Homophily Influential InformationDiffusion OnlineSocialNetwork Pagerank Reciprocity Retweet,"What is Twitter, a Social Network or a News Media?",2010,
1,Twitter Earthquake EventDetection LocationEstimation SocialSensor,Earthquake Shakes Twitter Users: Real-time Event Detection by Social Sensors,2010,
2,Microblogging SocialMedia SocialNetworkAnalysis UserIntent,Why We Twitter: Understanding Microblogging Usage and Communities,2007,
3,Influential Pagerank Twitter,TwitterRank: Finding Topic-sensitive Influential Twitterers,2010,1
4,CommunicationNetworks Diffusion Influence Twitter WordOfMouthMarketing,Everyone's an Influencer: Quantifying Influence on Twitter,2011,
5,Twitter Classification Marketing SentimentAnalysis SocialNetworking,Twitter Power: Tweets As Electronic Word of Mouth,2009,1
6,Measurement OnlineSocialNetworks,A Few Chirps About Twitter,2008,
7,InformationDiffusion SocialContagion SocialMedia,"Differences in the Mechanics of Information Diffusion Across Topics: Idioms, Political Hashtags, and Complex Contagion on Twitter",2011,
8,Twitter InformalCommunication Micro-Blog,How and Why People Twitter: The Role That Micro-blogging Plays in Informal Communication at Work,2009,1
10,Location-BasedEstimation SpatialDataMining TextMining Twitter,You Are Where You Tweet: A Content-based Approach to Geo-locating Twitter Users,2010,1
11,SocialMediaAnalytics SocialMediaCredibility Twitter,Information Credibility on Twitter,2011,1
12,SocialMediaAnalysis TrendDetection,TwitterMonitor: Trend Detection over the Twitter Stream,2010,
13,Computer-MediatedCommunication CrisisInformatics Disaster Emergency Hazards Microblogging SituationalAwareness,Microblogging During Two Natural Hazards Events: What Twitter May Contribute to Situational Awareness,2010,
14,Classification CommunicationNetworks Communications InformationFlow Twitter Two-StepFlow,Who Says What to Whom on Twitter,2011,
17,CollaborativeFiltering ContentBasedRecommendation Twitter Web2.0,Recommending Twitter Users to Follow Using Content and Collaborative Filtering Approaches,2010,
19,Classification FeatureSelection ShortText Twitter,Short Text Classification in Twitter to Improve Information Filtering,2010,1
20,Microblogging TopicModeling Twitter,Comparing Twitter and Traditional Media Using Topic Models,2011,1
21,Affect Annotation Debate Journalism Sentiment Tv Video,Characterizing Debate Performance via Aggregated Twitter Sentiment,2010,1
22,Content-BasedRecommendation NewsRecommendation Real-TimeRecommendation SocialRecommendation Twitter,Using Twitter to Recommend Real-time Topical News,2009,1
23,AgingTheory TextAnalysis TopicDetection,Emerging Topic Detection on Twitter Based on Temporal and Social Terms Evaluation,2010,1
24,Twitter RumorIdentification SocialMediaAnalytics,Twitter Under Crisis: Can We Trust What We RT?,2010,1
25,Personalization Semantics Twitter UserModeling,Analyzing User Modeling on Twitter for Personalized News Recommendations,2011,
26,Twitter RecencyModeling RecencyRanking,Time is of the Essence: Improving Recency Ranking Using Twitter Data,2010,
28,Twitter SocialMedia TopicModels,Empirical Study of Topic Modeling in Twitter,2010,1
29,Classification InformationDiffusion Microblogs SocialMedia,Predicting Popular Messages in Twitter,2011,
31,Geolocation GraphicalModel LanguageModel LatentVariableInference TopicModels Twitter UserProfiling,Discovering Geographical Topics in the Twitter Stream,2012,1
34,AttributeLearning LatentAttributeClassification SocialMedia,Classifying Latent User Attributes in Twitter,2010,
36,Twitter UserInterests,Discovering Users' Topics of Interest on Twitter: A First Look,2010,1
38,Twitter Affect SentimentAnalysis SocialNetworking Weblogs,Sentiment in Twitter Events,2011,1
